Agent,Runs,Final IQM,Final IQM 95% CI,Final Median,Final Median 95% CI,Final Mean,Final Mean 95% CI,TTT@0.8 mean,TTT@0.8 median,TTT@0.8 95% CI,% runs ≥ 0.8
LLMaE-PPO,10,0.973,"[0.972, 0.974]",0.973,"[0.972, 0.974]",0.973,"[0.972, 0.974]",29000,30000,"[23000, 35000]",100.0%
Transfer PPO,10,0.895,"[0.703, 0.958]",0.828,"[0.699, 0.952]",0.828,"[0.701, 0.952]",34286,20000,"[20000, 48571]",70.0%
PPO from scratch,10,0.209,"[0.014, 0.665]",0.318,"[0.068, 0.594]",0.318,"[0.068, 0.594]",290000,260000,"[260000, 350000]",30.0%
